Value,Range,Percentage,Min,Max
819.22,-8.38,(-1.01%),-10.34,2.79
819.61,-7.99,(-0.97%),-10.34,2.79
819.35,-8.25,(-1.00%),-10.34,2.79
819.67,-7.93,(-0.96%),-10.34,2.79
819.07,-8.31,(-1.00%),-10.34,2.79
819.07,-8.53,(-1.03%),-10.34,2.79
818.86,-8.74,(-1.06%),-10.34,2.79
819.27,-8.33,(-1.01%),-10.34,2.79
819.27,-8.33,(-1.01%),-10.34,2.79
819.27,-8.33,(-1.01%),-10.34,2.79
818.76,-8.84,(-1.07%),-10.34,2.79
819.07,-8.53,(-1.03%),-10.34,2.79
818.91,-8.69,(-1.05%),-10.34,2.79
819.26,-8.34,(-1.01%),-10.34,2.79
818.86,-8.74,(-1.06%),-10.34,2.79
819.09,-8.51,(-1.03%),-10.34,2.79
819.26,-8.34,(-1.01%),-10.34,2.79
818.86,-8.74,(-1.06%),-10.34,2.79
818.76,-8.84,(-1.07%),-10.34,2.79
818.60,-9.00,(-1.09%),-10.34,2.79
818.77,-8.83,(-1.07%),-10.34,2.79
818.85,-8.75,(-1.06%),-10.34,2.79
818.83,-8.77,(-1.06%),-10.34,2.79
818.60,-9.56,(-1.16%),-10.34,2.79
817.76,-9.84,(-1.19%),-10.34,2.79
817.84,-9.76,(-1.18%),-10.34,2.79
817.58,-10.02,(-1.21%),-10.34,2.79
817.78,-9.82,(-1.19%),-10.34,2.79
817.98,-9.62,(-1.16%),-10.34,2.79
818.06,-9.54,(-1.15%),-10.34,2.79
818.28,-9.32,(-1.13%),-10.34,2.79
818.06,-9.54,(-1.15%),-10.34,2.79
818.07,-9.53,(-1.15%),-10.34,2.79
818.39,-9.21,(-1.11%),-10.34,2.79
818.03,-9.57,(-1.16%),-10.34,2.79
818.03,-9.57,(-1.16%),-10.34,2.79
818.26,-9.34,(-1.13%),-10.34,2.79
818.59,-9.01,(-1.09%),-10.34,2.79
818.90,-8.70,(-1.05%),-10.34,2.79
819.16,-8.44,(-1.02%),-10.34,2.79
819.29,-8.31,(-1.00%),-10.34,2.79
819.29,-8.31,(-1.00%),-10.34,2.79
818.98,-8.62,(-1.04%),-10.34,2.79
818.98,-8.82,(-1.07%),-10.34,2.79
818.78,-8.82,(-1.07%),-10.34,2.79
818.87,-8.73,(-1.05%),-10.34,2.79
818.86,-8.74,(-1.06%),-10.34,2.79
818.77,-8.83,(-1.07%),-10.34,2.79
818.36,-9.24,(-1.12%),-10.34,2.79
818.33,-9.27,(-1.12%),-10.34,2.79
818.37,-9.23,(-1.12%),-10.34,2.79
818.26,-9.34,(-1.13%),-10.34,2.79
818.33,-9.27,(-1.12%),-10.34,2.79
818.43,-9.17,(-1.11%),-10.34,2.79
818.36,-9.24,(-1.12%),-10.34,2.79
818.13,-9.47,(-1.14%),-10.34,2.79
818.54,-9.06,(-1.09%),-10.34,2.79
818.54,-9.06,(-1.09%),-10.34,2.79
818.86,-8.74,(-1.06%),-10.34,2.79
819.15,-8.45,(-1.02%),-10.34,2.79
819.08,-8.52,(-1.03%),-10.34,2.79
819.70,-7.90,(-0.95%),-10.34,2.79
819.64,-7.96,(-0.96%),-10.34,2.79
820.28,-7.32,(-0.88%),-10.34,2.79
819.92,-7.68,(-0.93%),-10.34,2.79
820.07,-7.53,(-0.91%),-10.34,2.79
820.07,-7.53,(-0.91%),-10.34,2.79
819.84,-7.76,(-0.94%),-10.34,2.79
820.17,-7.43,(-0.90%),-10.34,2.79
819.90,-7.70,(-0.93%),-10.34,2.79
820.00,-7.60,(-0.92%),-10.34,2.79
819.87,-7.73,(-0.93%),-10.34,2.79
820.07,-7.53,(-0.91%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
820.65,-6.95,(-0.84%),-10.34,2.79
820.95,-6.65,(-0.80%),-10.34,2.79
820.80,-6.80,(-0.82%),-10.34,2.79
820.98,-6.62,(-0.80%),-10.34,2.79
820.97,-6.63,(-0.80%),-10.34,2.79
821.00,-6.60,(-0.80%),-10.34,2.79
820.55,-7.05,(-0.85%),-10.34,2.79
820.34,-7.26,(-0.88%),-10.34,2.79
820.51,-7.09,(-0.86%),-10.34,2.79
820.46,-7.14,(-0.86%),-10.34,2.79
820.51,-7.09,(-0.86%),-10.34,2.79
820.69,-6.91,(-0.83%),-10.34,2.79
820.69,-7.14,(-0.86%),-10.34,2.79
820.78,-6.82,(-0.82%),-10.34,2.79
821.01,-6.59,(-0.80%),-10.34,2.79
821.01,-6.59,(-0.80%),-10.34,2.79
820.81,-6.79,(-0.82%),-10.34,2.79
821.03,-6.57,(-0.79%),-10.34,2.79
821.53,-6.07,(-0.73%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
821.77,-5.83,(-0.70%),-10.34,2.79
821.77,-5.83,(-0.70%),-10.34,2.79
821.62,-5.98,(-0.72%),-10.34,2.79
821.81,-5.79,(-0.70%),-10.34,2.79
821.52,-6.08,(-0.73%),-10.34,2.79
821.80,-5.80,(-0.70%),-10.34,2.79
821.80,-5.80,(-0.70%),-10.34,2.79
821.84,-5.76,(-0.70%),-10.34,2.79
821.93,-5.67,(-0.69%),-10.34,2.79
821.82,-5.78,(-0.70%),-10.34,2.79
822.26,-5.34,(-0.65%),-10.34,2.79
822.52,-5.08,(-0.61%),-10.34,2.79
822.61,-4.99,(-0.60%),-10.34,2.79
823.27,-4.33,(-0.52%),-10.34,2.79
823.22,-4.38,(-0.53%),-10.34,2.79
823.12,-4.48,(-0.54%),-10.34,2.79
822.32,-5.28,(-0.64%),-10.34,2.79
822.50,-5.10,(-0.62%),-10.34,2.79
822.58,-5.02,(-0.61%),-10.34,2.79
822.74,-4.86,(-0.59%),-10.34,2.79
822.49,-5.11,(-0.62%),-10.34,2.79
822.18,-5.42,(-0.65%),-10.34,2.79
822.27,-5.33,(-0.64%),-10.34,2.79
822.37,-5.23,(-0.63%),-10.34,2.79
821.99,-5.61,(-0.68%),-10.34,2.79
822.10,-5.50,(-0.66%),-10.34,2.79
822.32,-5.28,(-0.64%),-10.34,2.79
821.49,-6.11,(-0.74%),-10.34,2.79
821.37,-6.23,(-0.75%),-10.34,2.79
821.54,-6.06,(-0.73%),-10.34,2.79
821.78,-5.82,(-0.70%),-10.34,2.79
821.67,-5.93,(-0.72%),-10.34,2.79
821.34,-6.26,(-0.76%),-10.34,2.79
821.37,-6.23,(-0.75%),-10.34,2.79
821.52,-6.08,(-0.73%),-10.34,2.79
821.60,-6.00,(-0.72%),-10.34,2.79
821.31,-6.29,(-0.76%),-10.34,2.79
821.31,-6.29,(-0.76%),-10.34,2.79
821.12,-6.48,(-0.78%),-10.34,2.79
821.32,-6.28,(-0.76%),-10.34,2.79
821.33,-6.27,(-0.76%),-10.34,2.79
821.65,-5.95,(-0.72%),-10.34,2.79
821.45,-6.15,(-0.74%),-10.34,2.79
821.45,-6.15,(-0.74%),-10.34,2.79
821.59,-6.01,(-0.73%),-10.34,2.79
821.67,-5.93,(-0.72%),-10.34,2.79
821.32,-6.28,(-0.76%),-10.34,2.79
821.52,-6.08,(-0.73%),-10.34,2.79
822.05,-5.55,(-0.67%),-10.34,2.79
822.31,-5.29,(-0.64%),-10.34,2.79
822.25,-5.35,(-0.65%),-10.34,2.79
821.91,-5.69,(-0.69%),-10.34,2.79
822.12,-5.48,(-0.66%),-10.34,2.79
822.12,-5.48,(-0.66%),-10.34,2.79
822.06,-5.54,(-0.67%),-10.34,2.79
822.50,-5.10,(-0.62%),-10.34,2.79
822.35,-5.25,(-0.63%),-10.34,2.79
822.09,-5.51,(-0.67%),-10.34,2.79
822.06,-5.54,(-0.67%),-10.34,2.79
822.06,-5.54,(-0.67%),-10.34,2.79
822.63,-4.97,(-0.60%),-10.34,2.79
822.56,-5.04,(-0.61%),-10.34,2.79
822.72,-4.88,(-0.59%),-10.34,2.79
822.72,-4.88,(-0.59%),-10.34,2.79
822.72,-4.88,(-0.59%),-10.34,2.79
821.65,-5.95,(-0.72%),-10.34,2.79
821.80,-5.80,(-0.70%),-10.34,2.79
821.81,-5.79,(-0.70%),-10.34,2.79
822.12,-5.48,(-0.66%),-10.34,2.79
821.65,-5.95,(-0.72%),-10.34,2.79
821.54,-6.06,(-0.73%),-10.34,2.79
821.65,-5.95,(-0.72%),-10.34,2.79
821.03,-6.57,(-0.79%),-10.34,2.79
820.66,-6.94,(-0.84%),-10.34,2.79
820.89,-6.71,(-0.81%),-10.34,2.79
820.55,-7.05,(-0.85%),-10.34,2.79
820.80,-6.80,(-0.82%),-10.34,2.79
820.86,-6.74,(-0.81%),-10.34,2.79
821.22,-6.38,(-0.77%),-10.34,2.79
821.01,-6.59,(-0.80%),-10.34,2.79
821.19,-6.41,(-0.77%),-10.34,2.79
820.82,-6.78,(-0.82%),-10.34,2.79
820.71,-6.89,(-0.83%),-10.34,2.79
820.71,-6.89,(-0.83%),-10.34,2.79
820.74,-6.86,(-0.83%),-10.34,2.79
820.72,-6.88,(-0.83%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
819.34,-8.26,(-1.00%),-10.34,2.79
818.79,-8.81,(-1.06%),-10.34,2.79
819.09,-8.51,(-1.03%),-10.34,2.79
818.79,-8.81,(-1.06%),-10.34,2.79
819.27,-8.33,(-1.01%),-10.34,2.79
819.41,-8.19,(-0.99%),-10.34,2.79
818.91,-8.69,(-1.05%),-10.34,2.79
820.28,-7.32,(-0.88%),-10.34,2.79
820.51,-7.09,(-0.86%),-10.34,2.79
819.93,-7.67,(-0.93%),-10.34,2.79
819.33,-8.27,(-1.00%),-10.34,2.79
820.46,-7.14,(-0.86%),-10.34,2.79
820.27,-7.33,(-0.89%),-10.34,2.79
820.15,-7.45,(-0.90%),-10.34,2.79
820.15,-7.45,(-0.90%),-10.34,2.79
820.07,-7.53,(-0.91%),-10.34,2.79
820.06,-7.54,(-0.91%),-10.34,2.79
820.07,-7.53,(-0.91%),-10.34,2.79
820.23,-7.37,(-0.89%),-10.34,2.79
819.95,-7.65,(-0.92%),-10.34,2.79
820.02,-7.58,(-0.92%),-10.34,2.79
820.29,-7.31,(-0.88%),-10.34,2.79
820.32,-7.28,(-0.88%),-10.34,2.79
820.35,-7.25,(-0.88%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
820.28,-7.32,(-0.88%),-10.34,2.79
820.39,-7.21,(-0.87%),-10.34,2.79
820.44,-7.16,(-0.87%),-10.34,2.79
819.85,-7.75,(-0.94%),-10.34,2.79
819.53,-8.07,(-0.98%),-10.34,2.79
820.46,-7.14,(-0.86%),-10.34,2.79
820.54,-7.06,(-0.85%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
820.27,-7.33,(-0.89%),-10.34,2.79
820.43,-7.17,(-0.87%),-10.34,2.79
819.53,-8.07,(-0.98%),-10.34,2.79
819.88,-7.72,(-0.93%),-10.34,2.79
819.70,-7.90,(-0.95%),-10.34,2.79
819.31,-8.29,(-1.00%),-10.34,2.79
818.78,-8.82,(-1.07%),-10.34,2.79
818.76,-8.84,(-1.07%),-10.34,2.79
818.76,-8.84,(-1.07%),-10.34,2.79
818.43,-9.17,(-1.11%),-10.34,2.79
818.76,-8.84,(-1.07%),-10.34,2.79
818.87,-8.73,(-1.05%),-10.34,2.79
818.83,-8.77,(-1.06%),-10.34,2.79
818.55,-9.05,(-1.09%),-10.34,2.79
818.26,-9.34,(-1.13%),-10.34,2.79
819.26,-8.34,(-1.01%),-10.34,2.79
819.41,-8.19,(-0.99%),-10.34,2.79
819.62,-7.98,(-0.96%),-10.34,2.79
819.65,-7.95,(-0.96%),-10.34,2.79
819.85,-7.75,(-0.94%),-10.34,2.79
819.77,-7.83,(-0.95%),-10.34,2.79
819.77,-7.83,(-0.95%),-10.34,2.79
819.88,-7.69,(-0.93%),-10.34,2.79
819.16,-8.44,(-1.02%),-10.34,2.79
818.51,-9.09,(-1.10%),-10.34,2.79
819.30,-8.30,(-1.00%),-10.34,2.79
819.66,-7.94,(-0.96%),-10.34,2.79
819.54,-8.06,(-0.97%),-10.34,2.79
819.77,-7.83,(-0.95%),-10.34,2.79
819.67,-7.93,(-0.96%),-10.34,2.79
819.73,-7.87,(-0.95%),-10.34,2.79
819.73,-8.52,(-1.03%),-10.34,2.79
819.10,-8.50,(-1.03%),-10.34,2.79
818.96,-8.64,(-1.04%),-10.34,2.79
819.54,-8.06,(-0.97%),-10.34,2.79
819.54,-8.06,(-0.97%),-10.34,2.79
819.78,-7.82,(-0.94%),-10.34,2.79
819.81,-7.79,(-0.94%),-10.34,2.79
819.85,-7.75,(-0.94%),-10.34,2.79
819.97,-7.63,(-0.92%),-10.34,2.79
819.93,-7.67,(-0.93%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.82,-7.78,(-0.94%),-10.34,2.79
819.67,-7.93,(-0.96%),-10.34,2.79
820.15,-7.45,(-0.90%),-10.34,2.79
820.27,-7.33,(-0.89%),-10.34,2.79
820.33,-7.27,(-0.88%),-10.34,2.79
820.46,-7.14,(-0.86%),-10.34,2.79
820.33,-7.27,(-0.88%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.94,-7.66,(-0.93%),-10.34,2.79
819.94,-7.66,(-0.93%),-10.34,2.79
819.94,-7.66,(-0.93%),-10.34,2.79
820.13,-7.47,(-0.90%),-10.34,2.79
820.13,-7.47,(-0.90%),-10.34,2.79
820.34,-7.26,(-0.88%),-10.34,2.79
820.17,-7.43,(-0.90%),-10.34,2.79
820.30,-7.30,(-0.88%),-10.34,2.79
820.32,-7.28,(-0.88%),-10.34,2.79
820.76,-6.84,(-0.83%),-10.34,2.79
820.78,-6.82,(-0.82%),-10.34,2.79
820.85,-6.75,(-0.82%),-10.34,2.79
820.56,-7.04,(-0.85%),-10.34,2.79
820.32,-7.28,(-0.88%),-10.34,2.79
820.40,-7.20,(-0.87%),-10.34,2.79
820.32,-7.28,(-0.88%),-10.34,2.79
820.58,-7.02,(-0.85%),-10.34,2.79
820.83,-6.77,(-0.82%),-10.34,2.79
821.16,-6.44,(-0.78%),-10.34,2.79
820.77,-6.83,(-0.83%),-10.34,2.79
820.77,-6.83,(-0.83%),-10.34,2.79
821.06,-6.54,(-0.79%),-10.34,2.79
821.08,-6.52,(-0.79%),-10.34,2.79
820.76,-6.84,(-0.83%),-10.34,2.79
820.82,-6.78,(-0.82%),-10.34,2.79
821.02,-6.58,(-0.80%),-10.34,2.79
820.76,-6.84,(-0.83%),-10.34,2.79
820.32,-7.28,(-0.88%),-10.34,2.79
819.96,-7.64,(-0.92%),-10.34,2.79
819.96,-7.64,(-0.92%),-10.34,2.79
819.63,-7.97,(-0.96%),-10.34,2.79
819.49,-8.11,(-0.98%),-10.34,2.79
819.49,-8.11,(-0.98%),-10.34,2.79
819.63,-7.97,(-0.96%),-10.34,2.79
819.67,-7.93,(-0.96%),-10.34,2.79
819.83,-7.77,(-0.94%),-10.34,2.79
819.87,-7.73,(-0.93%),-10.34,2.79
820.02,-7.58,(-0.92%),-10.34,2.79
820.09,-7.51,(-0.91%),-10.34,2.79
819.67,-7.93,(-0.96%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.87,-7.73,(-0.93%),-10.34,2.79
819.88,-7.72,(-0.93%),-10.34,2.79
820.17,-7.43,(-0.90%),-10.34,2.79
820.17,-7.43,(-0.90%),-10.34,2.79
820.29,-7.31,(-0.88%),-10.34,2.79
820.20,-7.40,(-0.89%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.62,-7.98,(-0.96%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.62,-7.98,(-0.96%),-10.34,2.79
820.04,-7.56,(-0.91%),-10.34,2.79
820.13,-7.47,(-0.90%),-10.34,2.79
820.14,-7.46,(-0.90%),-10.34,2.79
820.33,-7.27,(-0.88%),-10.34,2.79
820.06,-7.54,(-0.91%),-10.34,2.79
820.41,-7.19,(-0.87%),-10.34,2.79
819.90,-7.70,(-0.93%),-10.34,2.79
820.44,-7.16,(-0.87%),-10.34,2.79
820.44,-7.16,(-0.87%),-10.34,2.79
820.30,-7.30,(-0.88%),-10.34,2.79
820.34,-7.26,(-0.88%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.79,-7.81,(-0.94%),-10.34,2.79
819.84,-7.76,(-0.94%),-10.34,2.79
819.62,-7.98,(-0.96%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.77,-7.83,(-0.95%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.91,-7.69,(-0.93%),-10.34,2.79
819.91,-7.69,(-0.93%),-10.34,2.79
819.92,-7.68,(-0.93%),-10.34,2.79
820.28,-7.32,(-0.88%),-10.34,2.79
820.28,-7.32,(-0.88%),-10.34,2.79
820.28,-7.32,(-0.88%),-10.34,2.79
820.30,-7.30,(-0.88%),-10.34,2.79
820.31,-7.29,(-0.88%),-10.34,2.79
820.31,-7.29,(-0.88%),-10.34,2.79
820.30,-7.30,(-0.88%),-10.34,2.79
820.30,-7.30,(-0.88%),-10.34,2.79
820.31,-7.29,(-0.88%),-10.34,2.79
820.78,-6.82,(-0.82%),-10.34,2.79
820.37,-7.23,(-0.87%),-10.34,2.79
820.37,-7.23,(-0.87%),-10.34,2.79
820.77,-6.83,(-0.83%),-10.34,2.79
820.77,-6.83,(-0.83%),-10.34,2.79
820.83,-6.77,(-0.82%),-10.34,2.79
820.83,-6.77,(-0.82%),-10.34,2.79
820.37,-7.23,(-0.87%),-10.34,2.79
820.37,-7.23,(-0.87%),-10.34,2.79
820.39,-7.21,(-0.87%),-10.34,2.79
820.56,-7.04,(-0.85%),-10.34,2.79
820.58,-7.02,(-0.85%),-10.34,2.79
820.96,-6.64,(-0.80%),-10.34,2.79
821.72,-5.88,(-0.71%),-10.34,2.79
822.01,-5.59,(-0.68%),-10.34,2.79
822.10,-5.50,(-0.66%),-10.34,2.79
822.27,-5.33,(-0.64%),-10.34,2.79
822.08,-5.52,(-0.67%),-10.34,2.79
821.79,-5.81,(-0.70%),-10.34,2.79
821.87,-5.73,(-0.69%),-10.34,2.79
821.81,-5.79,(-0.70%),-10.34,2.79
821.80,-5.80,(-0.70%),-10.34,2.79
822.29,-5.31,(-0.64%),-10.34,2.79
822.44,-5.16,(-0.62%),-10.34,2.79
822.37,-5.23,(-0.63%),-10.34,2.79
822.07,-5.53,(-0.67%),-10.34,2.79
822.56,-5.04,(-0.61%),-10.34,2.79
822.41,-5.19,(-0.63%),-10.34,2.79
822.41,-5.19,(-0.63%),-10.34,2.79
822.41,-5.19,(-0.63%),-10.34,2.79
822.61,-4.99,(-0.60%),-10.34,2.79
822.61,-4.99,(-0.60%),-10.34,2.79
822.07,-6.13,(-0.74%),-10.34,2.79
821.74,-5.86,(-0.71%),-10.34,2.79
821.71,-5.89,(-0.71%),-10.34,2.79
822.04,-5.56,(-0.67%),-10.34,2.79
822.04,-5.56,(-0.67%),-10.34,2.79
821.71,-5.89,(-0.71%),-10.34,2.79
822.08,-5.52,(-0.67%),-10.34,2.79
821.71,-5.89,(-0.71%),-10.34,2.79
822.10,-5.50,(-0.66%),-10.34,2.79
822.45,-5.15,(-0.62%),-10.34,2.79
821.79,-5.81,(-0.70%),-10.34,2.79
821.79,-5.81,(-0.70%),-10.34,2.79
821.68,-5.92,(-0.72%),-10.34,2.79
821.94,-5.66,(-0.68%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
821.97,-5.63,(-0.68%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
822.09,-5.51,(-0.67%),-10.34,2.79
822.03,-5.57,(-0.67%),-10.34,2.79
821.82,-5.78,(-0.70%),-10.34,2.79
821.80,-5.80,(-0.70%),-10.34,2.79
821.57,-6.03,(-0.73%),-10.34,2.79
821.68,-5.92,(-0.72%),-10.34,2.79
821.83,-5.77,(-0.70%),-10.34,2.79
821.75,-5.85,(-0.71%),-10.34,2.79
821.68,-5.92,(-0.72%),-10.34,2.79
821.57,-6.03,(-0.73%),-10.34,2.79
821.24,-6.36,(-0.77%),-10.34,2.79
821.24,-6.36,(-0.77%),-10.34,2.79
821.52,-6.08,(-0.73%),-10.34,2.79
821.68,-5.92,(-0.72%),-10.34,2.79
821.24,-6.36,(-0.77%),-10.34,2.79
821.24,-6.36,(-0.77%),-10.34,2.79
821.24,-6.36,(-0.77%),-10.34,2.79
821.24,-6.36,(-0.77%),-10.34,2.79
821.24,-6.36,(-0.77%),-10.34,2.79
821.59,-6.01,(-0.73%),-10.34,2.79
821.02,-6.58,(-0.80%),-10.34,2.79
822.02,-5.58,(-0.67%),-10.34,2.79
821.80,-5.80,(-0.70%),-10.34,2.79
821.87,-5.73,(-0.69%),-10.34,2.79
822.17,-5.43,(-0.66%),-10.34,2.79
822.25,-5.35,(-0.65%),-10.34,2.79
822.24,-5.36,(-0.65%),-10.34,2.79
821.59,-6.01,(-0.73%),-10.34,2.79
821.80,-5.80,(-0.70%),-10.34,2.79
821.85,-5.75,(-0.69%),-10.34,2.79
821.59,-6.01,(-0.73%),-10.34,2.79
821.79,-5.81,(-0.70%),-10.34,2.79
821.38,-6.22,(-0.75%),-10.34,2.79
821.98,-5.62,(-0.68%),-10.34,2.79
822.03,-5.57,(-0.67%),-10.34,2.79
822.06,-5.54,(-0.67%),-10.34,2.79
822.28,-5.32,(-0.64%),-10.34,2.79
822.04,-5.56,(-0.67%),-10.34,2.79
822.02,-5.58,(-0.67%),-10.34,2.79
822.02,-5.58,(-0.67%),-10.34,2.79
822.02,-5.58,(-0.67%),-10.34,2.79
822.17,-5.43,(-0.66%),-10.34,2.79
822.38,-5.22,(-0.63%),-10.34,2.79
822.40,-5.20,(-0.63%),-10.34,2.79
822.27,-5.33,(-0.64%),-10.34,2.79
822.51,-5.09,(-0.62%),-10.34,2.79
822.51,-5.09,(-0.62%),-10.34,2.79
822.39,-5.21,(-0.63%),-10.34,2.79
822.54,-5.06,(-0.61%),-10.34,2.79
822.31,-5.29,(-0.64%),-10.34,2.79
822.08,-5.52,(-0.67%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
821.86,-5.74,(-0.69%),-10.34,2.79
821.93,-5.67,(-0.69%),-10.34,2.79
821.57,-6.03,(-0.73%),-10.34,2.79
821.38,-6.14,(-0.74%),-10.34,2.79
821.46,-6.14,(-0.74%),-10.34,2.79
821.46,-6.14,(-0.74%),-10.34,2.79
821.54,-6.06,(-0.73%),-10.34,2.79
820.80,-6.80,(-0.82%),-10.34,2.79
821.08,-6.52,(-0.79%),-10.34,2.79
821.08,-6.52,(-0.79%),-10.34,2.79
821.15,-6.45,(-0.78%),-10.34,2.79
821.46,-6.14,(-0.74%),-10.34,2.79
821.42,-6.18,(-0.75%),-10.34,2.79
821.37,-6.23,(-0.75%),-10.34,2.79
821.12,-6.48,(-0.78%),-10.34,2.79
821.09,-6.51,(-0.79%),-10.34,2.79
821.11,-6.49,(-0.78%),-10.34,2.79
820.90,-6.70,(-0.81%),-10.34,2.79
820.75,-6.85,(-0.83%),-10.34,2.79
820.75,-6.85,(-0.83%),-10.34,2.79
820.75,-6.85,(-0.83%),-10.34,2.79
821.03,-6.57,(-0.79%),-10.34,2.79
820.86,-6.74,(-0.81%),-10.34,2.79
821.33,-6.27,(-0.76%),-10.34,2.79
820.46,-7.14,(-0.86%),-10.34,2.79
820.46,-7.14,(-0.86%),-10.34,2.79
820.35,-7.25,(-0.88%),-10.34,2.79
820.35,-7.25,(-0.88%),-10.34,2.79
820.60,-7.00,(-0.85%),-10.34,2.79
820.35,-7.25,(-0.88%),-10.34,2.79
820.46,-7.14,(-0.86%),-10.34,2.79
820.35,-7.25,(-0.88%),-10.34,2.79
820.35,-7.25,(-0.88%),-10.34,2.79
820.24,-7.36,(-0.89%),-10.34,2.79
820.49,-7.11,(-0.86%),-10.34,2.79
820.71,-6.89,(-0.83%),-10.34,2.79
820.58,-7.02,(-0.85%),-10.34,2.79
820.58,-7.02,(-0.85%),-10.34,2.79
820.92,-6.68,(-0.81%),-10.34,2.79
820.92,-6.68,(-0.81%),-10.34,2.79
821.05,-6.55,(-0.79%),-10.34,2.79
820.82,-6.78,(-0.82%),-10.34,2.79
821.02,-6.58,(-0.80%),-10.34,2.79
820.86,-6.74,(-0.81%),-10.34,2.79
820.87,-6.73,(-0.81%),-10.34,2.79
820.35,-7.25,(-0.88%),-10.34,2.79
820.42,-7.18,(-0.87%),-10.34,2.79
820.24,-7.36,(-0.89%),-10.34,2.79
820.24,-7.36,(-0.89%),-10.34,2.79
820.24,-7.36,(-0.89%),-10.34,2.79
820.24,-7.36,(-0.89%),-10.34,2.79
820.51,-7.09,(-0.86%),-10.34,2.79
820.24,-7.36,(-0.89%),-10.34,2.79
820.28,-7.32,(-0.88%),-10.34,2.79
820.32,-7.28,(-0.88%),-10.34,2.79
820.34,-7.26,(-0.88%),-10.34,2.79
820.54,-7.06,(-0.85%),-10.34,2.79
820.19,-7.41,(-0.90%),-10.34,2.79
820.19,-7.41,(-0.90%),-10.34,2.79
819.91,-7.69,(-0.93%),-10.34,2.79
820.17,-7.43,(-0.90%),-10.34,2.79
819.91,-7.69,(-0.93%),-10.34,2.79
820.33,-7.27,(-0.88%),-10.34,2.79
820.35,-7.25,(-0.88%),-10.34,2.79
820.29,-7.31,(-0.88%),-10.34,2.79
820.37,-7.23,(-0.87%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
820.20,-7.40,(-0.89%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.99,-7.61,(-0.92%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
820.33,-7.27,(-0.88%),-10.34,2.79
820.52,-7.08,(-0.86%),-10.34,2.79
820.51,-7.09,(-0.86%),-10.34,2.79
820.16,-7.44,(-0.90%),-10.34,2.79
820.16,-7.44,(-0.90%),-10.34,2.79
820.30,-7.30,(-0.88%),-10.34,2.79
820.16,-7.44,(-0.90%),-10.34,2.79
820.63,-6.97,(-0.84%),-10.34,2.79
820.16,-7.44,(-0.90%),-10.34,2.79
820.16,-7.44,(-0.90%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.58,-8.02,(-0.97%),-10.34,2.79
819.36,-8.24,(-1.00%),-10.34,2.79
819.36,-8.24,(-1.00%),-10.34,2.79
819.48,-8.12,(-0.98%),-10.34,2.79
819.50,-8.10,(-0.98%),-10.34,2.79
819.51,-8.09,(-0.98%),-10.34,2.79
819.51,-8.09,(-0.98%),-10.34,2.79
819.82,-7.78,(-0.94%),-10.34,2.79
819.51,-8.09,(-0.98%),-10.34,2.79
819.51,-8.09,(-0.98%),-10.34,2.79
819.79,-7.81,(-0.94%),-10.34,2.79
820.23,-7.37,(-0.89%),-10.34,2.79
